,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10343,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19431512.0,19431512.0,False,,1,,,,2023-07-17T07:39:00.000Z,30274.44574369821,8236980968.64446,3.5578,-0.02610204,-0.00681855,0.52672152,13.82239892,11.04598727,1.77621701,588278255762.0206,48.4461,635763360617.66,,2023-07-17T07:39:00.000Z,,,,,,2023-07-17 07:41:14.540706
1,1027,Ethereum,ETH,ethereum,7124,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120201013.3298196,120201013.3298196,True,,2,,,,2023-07-17T07:39:00.000Z,1930.8785331679928,4256420998.513311,-3.0115,-0.04939552,0.03771755,3.98164347,10.74454318,5.92388145,-8.14456026,232093556303.58844,19.1162,232093556303.59,,2023-07-17T07:39:00.000Z,,,,,,2023-07-17 07:41:14.540706
2,825,Tether,USDT,tether,56997,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83649374839.9383,86715788906.06107,True,,3,,,,2023-07-17T07:39:00.000Z,1.000236765843052,17445156095.762142,0.9711,-0.02211268,-0.00608214,0.00762309,0.09057347,0.01529904,-0.01168897,83669180154.69304,6.8906,86736320242.93,,2023-07-17T07:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-07-17 07:41:14.540706
3,52,XRP,XRP,xrp,994,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'sec-security-token']",100000000000.0,52544091958.0,99988621362.0,False,,4,,,,2023-07-17T07:39:00.000Z,0.7512661308692437,3875244426.8441505,59.6855,0.3488792,4.77426157,60.78039141,56.33510278,67.87899928,45.281724,39474596665.3244,3.2512,75126613086.92,,2023-07-17T07:39:00.000Z,,,,,,2023-07-17 07:41:14.540706
4,1839,BNB,BNB,bnb,1511,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",,155848643.76698515,155848643.76698515,False,,5,,,,2023-07-17T07:39:00.000Z,242.56818925530087,548045800.239553,35.7055,-0.06095969,-2.66342149,4.01023097,-1.85397532,-22.51532055,-29.77839259,37803923316.45202,3.1136,37803923316.45,,2023-07-17T07:39:00.000Z,,,,,,2023-07-17 07:41:14.540706
5,3408,USD Coin,USDC,usd-coin,13341,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,27280788709.61711,27280788709.61711,False,,6,,,,2023-07-17T07:39:00.000Z,0.9999653090850761,2093381615.0559022,2.5824,-0.0072709,-0.01117139,-0.01167652,-0.00646703,-0.00109626,0.00666253,27279842314.096928,2.2468,27279842314.1,,2023-07-17T07:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-07-17 07:41:14.540706
6,5426,Solana,SOL,solana,488,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,402683084.76280594,552620168.8303558,True,,7,,,,2023-07-17T07:39:00.000Z,27.660346667525257,691779185.3911823,-31.8583,-0.66836806,-0.0550395,32.07095826,74.8805471,32.6792567,10.59575317,11138353721.68767,0.9174,15285665445.31,,2023-07-17T07:39:00.000Z,,,,,,2023-07-17 07:41:14.540706
7,2010,Cardano,ADA,cardano,874,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,34977712594.115,35983607755.528,False,,8,,,,2023-07-17T07:39:00.000Z,0.3174740902495955,277644483.7215506,14.356,-0.18126446,-0.9927711,12.23583771,17.63466572,-15.60183783,-28.28619618,11104517484.828478,0.9146,14286334061.23,,2023-07-17T07:39:00.000Z,,,,,,2023-07-17 07:41:14.540706
8,74,Dogecoin,DOGE,dogecoin,744,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,140206006383.70523,140206006383.70523,True,,9,,,,2023-07-17T07:39:00.000Z,0.07101921308046819,403749124.9206103,-45.516,-0.70389767,-0.04029027,10.01507523,13.42596548,-3.97674491,-23.59303227,9957320242.525845,0.82,9957320242.53,,2023-07-17T07:39:00.000Z,,,,,,2023-07-17 07:41:14.540706
9,3890,Polygon,MATIC,polygon,776,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,9319469069.28493,10000000000.0,False,,10,,,,2023-07-17T07:39:00.000Z,0.7786587552259374,311462787.9980251,12.5024,-0.33715517,-1.69740815,14.62862048,26.16308384,-11.38907493,-33.59878591,7256686184.856029,0.5977,7786587552.26,,2023-07-17T07:39:00.000Z,,,,,,2023-07-17 07:41:14.540706
